region,provincia,ciudad,dni,candidato,esvalido
Arequipa,Caravelí,Caravelí,58438585,Jerome Duane,1
Arequipa,Caravelí,Caravelí,37559382,Jerome Duane,1
Arequipa,Caravelí,Caravelí,54617223,Juan Bravo,1
Arequipa,Caravelí,Caravelí,63277755,Juan Bravo,1
Arequipa,Caravelí,Caravelí,35654542,Benny Plunkett,0
Arequipa,Caravelí,Caravelí,46984716,Marlene Serrano,0
Arequipa,Caravelí,Caravelí,35763209,Barbara Saleha,1
Arequipa,Caravelí,Caravelí,18623034,Frank Stanley,0
Arequipa,Caravelí,Caravelí,35493423,Barbara Saleha,1
Arequipa,Caravelí,Caravelí,49778130,Barbara Saleha,1
Arequipa,Caravelí,Caravelí,57420374,Jerome Duane,0
Arequipa,Caravelí,Caravelí,64332867,Juan Bravo,1
Arequipa,Caravelí,Caravelí,66356933,Matthew Espitia,0
Arequipa,Caravelí,Caravelí,59190506,Marlene Serrano,0
Arequipa,Caravelí,Caravelí,20608883,Frank Stanley,1
Arequipa,Caravelí,Caravelí,32166431,Juan Bravo,0
Arequipa,Caravelí,Caravelí,51781437,Juan Bravo,0
Arequipa,Caravelí,Caravelí,36042540,Matthew Espitia,1
Arequipa,Caravelí,Caravelí,62382647,Jerome Duane,0
Arequipa,Caravelí,Caravelí,56140914,Marlene Serrano,0
Arequipa,Caravelí,Caravelí,11720546,Marlene Serrano,0
Arequipa,Caravelí,Caravelí,41109732,Marlene Serrano,0
Arequipa,Caravelí,Caravelí,75323053,Benny Plunkett,0
Arequipa,Caravelí,Caravelí,28011085,Frank Stanley,0
Arequipa,Caravelí,Caravelí,55233078,Barbara Saleha,1
Arequipa,Caravelí,Caravelí,48759669,Barbara Saleha,1
Arequipa,Caravelí,Caravelí,67817445,Jerome Duane,0
Arequipa,Caravelí,Caravelí,26729086,Benny Plunkett,1
Arequipa,Caravelí,Caravelí,41652906,Benny Plunkett,0
Arequipa,Caravelí,Caravelí,33464378,Marlene Serrano,1
Arequipa,Caravelí,Caravelí,70937856,Marlene Serrano,1
Arequipa,Caravelí,Caravelí,16682597,Marlene Serrano,0
Arequipa,Caravelí,Caravelí,15179866,Frank Stanley,0
Arequipa,Caravelí,Caravelí,37011927,Jerome Duane,0
Arequipa,Caravelí,Caravelí,11557864,Juan Bravo,0
Arequipa,Caravelí,Caravelí,19336867,Benny Plunkett,0
Arequipa,Caravelí,Caravelí,87639956,Benny Plunkett,1
Arequipa,Caravelí,Caravelí,66365440,Barbara Saleha,1
Arequipa,Caravelí,Caravelí,34111806,Marlene Serrano,0
Arequipa,Caravelí,Caravelí,85800291,Barbara Saleha,0
Arequipa,Caravelí,Caravelí,42977048,Juan Bravo,0
Arequipa,Caravelí,Caravelí,49659181,Juan Bravo,0
Arequipa,Caravelí,Caravelí,15961259,Frank Stanley,1
Arequipa,Caravelí,Caravelí,26807033,Matthew Espitia,1
Arequipa,Caravelí,Caravelí,57048831,Juan Bravo,1
Arequipa,Caravelí,Caravelí,55213293,Benny Plunkett,0
