region,provincia,ciudad,dni,candidato,esvalido
Madre de Dios,Manu ,Manu,63101020,James Laigle,0
Madre de Dios,Manu ,Manu,60384683,Sharon Smith,0
Madre de Dios,Manu ,Manu,84677954,Willa Berber,1
Madre de Dios,Manu ,Manu,88921047,Sharon Smith,0
Madre de Dios,Manu ,Manu,41332230,Sharon Smith,1
Madre de Dios,Manu ,Manu,69466238,Sharon Smith,1
Madre de Dios,Manu ,Manu,64310108,Richard Long,0
Madre de Dios,Manu ,Manu,39463392,James Laigle,0
Madre de Dios,Manu ,Manu,26886328,Richard Long,0
Madre de Dios,Manu ,Manu,26555799,James Laigle,1
Madre de Dios,Manu ,Manu,79249257,Jeffrey Weaver,1
Madre de Dios,Manu ,Manu,58018008,Richard Long,0
Madre de Dios,Manu ,Manu,48824245,Sharon Smith,1
Madre de Dios,Manu ,Manu,10059479,Jeffrey Weaver,1
Madre de Dios,Manu ,Manu,67266593,Jeffrey Weaver,1
Madre de Dios,Manu ,Manu,64377188,Jeffrey Weaver,0
Madre de Dios,Manu ,Manu,86621723,Sharon Smith,0
Madre de Dios,Manu ,Manu,70470904,James Laigle,1
Madre de Dios,Manu ,Manu,28226858,Willa Berber,0
Madre de Dios,Manu ,Manu,81804254,James Laigle,1
Madre de Dios,Manu ,Manu,33156965,Sharon Smith,0
Madre de Dios,Manu ,Manu,76429174,Willa Berber,0
Madre de Dios,Manu ,Manu,55731759,Willa Berber,1
Madre de Dios,Manu ,Manu,29015927,Sharon Smith,1
Madre de Dios,Manu ,Manu,56158129,Jeffrey Weaver,0
Madre de Dios,Manu ,Manu,87896158,Jeffrey Weaver,1
Madre de Dios,Manu ,Manu,57199322,Willa Berber,1
Madre de Dios,Manu ,Manu,28125223,Richard Long,0
Madre de Dios,Manu ,Manu,84427203,Sharon Smith,1
Madre de Dios,Manu ,Manu,86932003,Richard Long,0
Madre de Dios,Manu ,Manu,72747250,Jeffrey Weaver,1
Madre de Dios,Manu ,Manu,25132575,Sharon Smith,1
Madre de Dios,Manu ,Manu,79754539,James Laigle,0
Madre de Dios,Manu ,Manu,26075330,Richard Long,0
Madre de Dios,Manu ,Manu,70049038,Jeffrey Weaver,0
Madre de Dios,Manu ,Manu,14028804,Richard Long,0
Madre de Dios,Manu ,Manu,40001434,James Laigle,0
Madre de Dios,Manu ,Manu,13788502,Jeffrey Weaver,1
Madre de Dios,Manu ,Manu,77649303,Willa Berber,1
Madre de Dios,Manu ,Manu,80433786,Jeffrey Weaver,0
Madre de Dios,Manu ,Manu,46501346,James Laigle,1
Madre de Dios,Manu ,Manu,70513312,Sharon Smith,1
Madre de Dios,Manu ,Manu,55220485,James Laigle,0
Madre de Dios,Manu ,Manu,86664272,James Laigle,0
